SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
ANMU,Ancient Murrelet,Synthliboramphus antiquus,SYNANT,Charadriiformes,Alcidae,
ANHI,Anhinga,Anhinga anhinga,ANHANH,Suliformes,Anhingidae,
ANIA,Anianiau,Magumma parva,MAGPAR,Passeriformes,Fringillidae,Drepanidinae
ANHU,Anna's Hummingbird,Calypte anna,CALANN,Apodiformes,Trochilidae,Trochilinae
ANCH,Antillean Crested Hummingbird,Orthorhyncus cristatus,ORTCRI,Apodiformes,Trochilidae,Trochilinae
ANEU,Antillean Euphonia,Euphonia musica,EUPMUS,Passeriformes,Fringillidae,Euphoniinae
ANMA,Antillean Mango,Anthracothorax dominicus,ANTDOM,Apodiformes,Trochilidae,Trochilinae
ANNI,Antillean Nighthawk,Chordeiles gundlachii,CHOGUN,Caprimulgiformes,Caprimulgidae,Chordeilinae
ANPS,Antillean Palm-Swift,Tachornis phoenicobia,TACPHO,Apodiformes,Apodidae,Apodinae
ANPI,Antillean Piculet,Nesoctites micromegas,NESMIC,Piciformes,Picidae,Picumninae
ANSI,Antillean Siskin,Spinus dominicensis,SPUDOM,Passeriformes,Fringillidae,Carduelinae
APAP,Apapane,Himatione sanguinea,HIMSAN,Passeriformes,Fringillidae,Drepanidinae
APFA,Aplomado Falcon,Falco femoralis,FALFEM,Falconiformes,Falconidae,Falconinae
ARLO,Arctic Loon,Gavia arctica,GAVARC,Gaviiformes,Gaviidae,
ARTE,Arctic Tern,Sterna paradisaea,STEPAD,Charadriiformes,Laridae,Sterninae
ARWA,Arctic Warbler,Phylloscopus borealis,PHYBOR,Passeriformes,Phylloscopidae,
ARWO,Arizona Woodpecker,Picoides arizonae,PICARI,Piciformes,Picidae,Picinae
ARRW,Arrowhead Warbler,Setophaga pharetra,SETPHA,Passeriformes,Parulidae,
ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,MYICIN,Passeriformes,Tyrannidae,Tyranninae
ASSP,Ashy Storm-Petrel,Oceanodroma homochroa,OCEHOM,Procellariiformes,Hydrobatidae,
AFOW,Ashy-faced Owl,Tyto glaucops,TYTGLA,Strigiformes,Tytonidae,
ATBT,Ashy-throated Bush-Tanager,Chlorospingus canigularis,CHLCAG,Passeriformes,Emberizidae,
ABFL,Asian Brown Flycatcher,Muscicapa dauurica,MUSDAU,Passeriformes,Muscicapidae,
ATGR,Atitlan Grebe,Podilymbus gigas,PODGIG,Podicipediformes,Podicipedidae,
ATBR,Atlantic Brant,Branta b. bernicla,BRABBE,Anseriformes,Anatidae,Anserinae
ATPU,Atlantic Puffin,Fratercula arctica,FRAARC,Charadriiformes,Alcidae,
AUOR,Audubon's Oriole,Icterus graduacauda,ICTGRA,Passeriformes,Icteridae,
AUSH,Audubon's Shearwater,Puffinus lherminieri,PUFLHE,Procellariiformes,Procellariidae,
AUWA,Audubon's Warbler,Setophaga coronata auduboni,SETCAU,Passeriformes,Parulidae,
AZTH,Aztec Thrush,Ridgwayia pinicola,RIDPIN,Passeriformes,Turdidae,
AZGA,Azure Gallinule,Porphyrio flavirostris,PORFLR,Gruiformes,Rallidae,
AZCH,Azure-crowned Hummingbird,Amazilia cyanocephala,AMACYC,Apodiformes,Trochilidae,Trochilinae
AHJA,Azure-hooded Jay,Cyanolyca cucullata,CYACUC,Passeriformes,Corvidae,
ARTA,Azure-rumped Tanager,Tangara cabanisi,TANCAB,Passeriformes,Thraupidae,
BACS,Bachman's Sparrow,Peucaea aestivalis,PEUAES,Passeriformes,Emberizidae,
BAWA,Bachman's Warbler,Vermivora bachmanii,VERBAC,Passeriformes,Parulidae,
BAMO,Bahama Mockingbird,Mimus gundlachii,MIMGUN,Passeriformes,Mimidae,
